user_id,item_list
40,2226 2390 340 5637 1458 3602 2979 4634 6330 3410 1245 1960 4796 6519 4570 169 817 814 3526 6281
41,3316 1168 1418 5252 262 2004 504 6219 1554 3989 5979 200 814 2556 1377 5469 6061 5340 2255 2754
42,1252 1930 640 5394 2321 2780 3602 3010 5723 1544 1691 2556 4231 1329 5814 2115 5489 1118 1839 4169
43,4514 4270 5304 479 4180 4191 3410 4545 6730 868 355 2101 4200 1709 1791 2167 4291 4195 4103 4251
44,457 2110 5369 3588 112 479 1418 6771 2356 1554 2557 814 2024 1339 5252 4291 6196 5167 3236 5340
45,4220 2677 6018 3236 1736 5636 5766 2659 3989 4312 5294 2445 2505 4925 3142 4291 5474 92 4532 2636
46,6034 6018 918 2776 5532 2628 6273 5710 5666 4264 3602 2557 4365 3135 2150 2796 3053 4527 86 203
47,1691 4608 865 4916 1220 1812 1307 2628 6028 1135 982 5532 2955 4270 4709 6416 1503 1252 1497 559
48,3512 1418 2632 1800 5723 2871 2628 3702 5532 6281 4625 5369 4635 2645 1267 262 112 655 531 2072
49,6378 1940 6519 4023 1804 4300 1210 92 1651 6133 1960 414 3666 6730 2556 132 5323 2731 552 2188
50,3410 6377 4291 6624 1373 2557 2888 5854 4533 1339 536 868 4200 4709 4195 6382 2574 2110 814 5744
51,3300 1702 4877 355 1610 1716 6821 457 123 777 6758 1339 3714 1825 1000 208 5854 5740 6219 4777
52,6077 4989 3778 2645 6050 1418 5167 4195 4200 4709 1709 5920 457 3010 1329 5252 868 1554 6316 1377
53,625 1912 2110 5304 4554 479 5961 2955 5898 4291 5785 355 6592 372 5640 86 814 6291 2844 4704
54,5408 5258 2093 3441 5252 1895 4720 2556 4570 1975 6651 6624 4291 3410 550 4045 3607 4200 2300 1458
55,6013 6516 1940 495 2556 2324 6329 457 2110 2228 3105 4572 3819 4023 205 3326 1503 3373 2167 5812
56,3256 201 1403 1389 4029 4291 6666 814 479 355 6624 4554 4302 6363 1418 5553 2556 1476 1610 4373
57,5076 4045 3201 1602 6073 5252 6018 4570 1183 5064 2556 3316 6330 459 2873 2329 5513 4373 4572 4351
58,3604 1651 1574 4709 84 2251 2459 5063 5532 6802 4359 4312 2574 344 3966 5356 563 89 5065 6621
59,4533 5965 6173 3208 1373 5766 2199 1062 5532 4161 6647 2556 193 6466 4967 1428 5285 6050 2050 5407
60,51 2194 2228 1319 6377 4709 3875 5323 1779 814 1403 6142 479 4291 5466 868 355 657 5073 2369
61,868 4533 372 2556 1015 2228 2628 434 1294 955 1905 5410 5532 1983 2636 1736 4877 3410 4200 3819
62,5387 6293 3512 5460 236 2960 4484 6431 2232 2555 2776 2779 640 3824 3989 6729 291 868 3765 1073
63,4691 1940 3410 2557 956 4709 5441 6771 4291 5609 5778 372 3765 6126 492 3646 5076 5553 3966 5167
64,2115 1602 5532 6158 4220 4191 4545 2985 1094 2703 3055 6889 372 3410 5369 2195 2148 1038 3164 2390
65,4200 3516 4351 261 6930 814 6235 3218 5000 3044 2194 1539 5142 3875 2556 1112 5609 6513 2228 5284
66,4714 3602 1403 3316 2835 355 5356 3236 3410 5442 3576 5269 2228 3739 6930 479 6142 2556 1097 3000
67,6070 2986 2115 5830 6637 596 601 4049 5785 3666 1602 2626 1328 5748 3310 4231 452 2397 5407 2955
68,2628 2228 1940 4709 1403 4570 3933 1339 5407 5671 5950 5230 6810 4023 355 608 5705 4291 5469 74
69,1373 4534 5410 1940 1171 3180 2233 2226 4486 5766 5407 3526 5329 5489 5799 966 414 1131 4483 2703
70,5258 5466 5460 814 5705 3765 6213 4912 4200 479 3989 891 262 6427 5553 3410 2779 3236 6330 6890
71,5023 955 275 2556 355 4796 4529 2557 372 4200 1339 4996 2527 200 1015 318 777 3239 2986 1374
72,1319 1108 3295 5965 6811 495 1940 3049 2228 625 4534 4414 457 596 2080 3621 868 5490 5710 1229
73,242 1560 5469 6073 5037 3059 2932 2091 4191 2228 4777 4251 6821 1696 3410 2556 5323 1467 1940 244
74,6810 5965 1373 5442 5690 5738 4302 6654 1339 2397 5490 5671 227 193 2835 5532 6378 2829 2167 3962
75,6935 3977 966 6739 6033 2529 5710 1373 4896 5474 1994 2556 3874 4977 5861 4709 2369 1198 4901 2077
76,3316 5394 4989 3604 3462 1799 2004 2747 559 6372 1094 1554 5705 2477 86 3294 4608 3410 355 1560
77,5864 6873 2628 1199 5847 403 6530 3808 125 4029 4936 5069 1254 3110 6604 5168 1690 267 4835 6457
78,495 4180 2527 4247 1000 6271 2556 4103 6619 2886 86 5469 2050 777 1339 868 291 4365 6627 4012
79,1131 2399 4351 1458 5252 6411 1159 6219 3300 5857 6133 479 4634 3516 3460 1106 4810 4864 6142 4936
80,2399 2228 4238 2369 1644 1294 4032 955 291 2170 479 6372 2880 2273 5258 6190 2776 2203 6287 4855
81,2167 1610 2168 3236 2556 457 6584 814 4200 6624 2891 531 4633 1602 4231 2339 5469 3713 729 4570
82,4200 3125 3516 6935 2824 6810 2295 1981 3460 5474 2080 5671 4302 3410 2167 2907 4291 1373 3607 1940
83,868 5766 5854 1339 3819 3373 2835 2167 4848 4313 3410 479 272 6196 4789 5532 1898 6814 255 6584
84,2557 2273 3602 1329 2341 2556 4231 2275 1539 6627 1940 2101 2574 2110 261 6561 4709 3666 2628 4023
85,5469 5369 2557 1168 4200 6190 5356 814 1554 1418 5340 3512 3316 2091 457 1480 4796 1339 868 4291
86,1400 5326 3588 6532 3128 531 2001 6281 4200 3236 5269 5295 4968 4796 6103 814 4029 4570 3675 4373
87,4023 4777 1294 2556 814 262 3236 4554 6771 956 4533 6165 2151 457 1000 4796 6330 1373 5950 6624
88,4912 3547 5489 6421 6890 6307 3258 814 1641 3410 1680 5609 5356 5460 3989 5131 355 5534 2720 1920
89,3824 1983 3602 2557 4514 424 2314 1294 2093 1503 224 5553 991 2329 6332 4572 3666 3445 1943 439
90,2110 6454 6627 2093 3666 5073 5407 3310 2986 1887 6516 5830 283 5489 6198 2167 5666 5369 1038 5748
91,3441 3713 4709 5609 459 1403 6158 814 4291 4029 5356 5532 3410 1015 2300 4480 6771 4833 2556 6330
92,5469 200 5065 4296 4200 5258 6018 1696 3410 3265 2232 222 3966 2167 1294 3343 5956 2659 3765 1364
93,3044 5122 955 4270 1252 4172 6411 966 283 5240 2527 5532 1850 2397 6397 2369 5335 1905 4023 2869
94,6707 4704 3208 4161 457 3410 4492 4342 1655 1062 4032 4195 2321 6050 3462 5081 355 2399 2456 1428
95,3767 2093 6627 424 2556 2557 1544 4349 6872 6561 6568 227 6675 2960 6729 5609 1339 457 2110 4780
96,1963 5323 6073 1602 1940 4500 4748 2369 2329 1051 5644 4545 2509 5852 1467 291 3410 2703 6101 6136
97,4534 1407 2110 1013 1940 1328 1038 2556 559 2228 1696 6472 2891 1983 5950 2527 2397 5230 536 2329
98,1393 4342 814 3285 2321 5394 2456 3201 4270 4608 2275 271 1644 6802 3778 3049 2779 5766 984 4877
99,2399 3236 457 355 868 5532 4200 479 3602 5460 5965 3316 4554 291 5854 4545 3256 665 2324 5167
100,3410 4373 3180 4045 5549 6965 1214 6190 3966 3754 1960 6133 2221 4527 3516 92 4029 201 5241 4970
101,4408 3316 6624 86 6472 457 559 1983 494 6050 536 2557 6271 5295 3373 868 6619 3714 4529 1000
102,1373 1403 1696 4338 814 6935 4709 4835 1743 6457 6532 6005 5640 656 4082 6530 2556 6023 5671 3590
103,2324 4533 4414 1328 4023 2556 494 5323 6821 3057 1445 4570 5961 5442 5981 2628 3933 2329 355 5950
104,596 3410 3621 2557 536 2369 4929 3602 868 2228 2284 4813 3244 814 1339 4554 1940 4709 3819 5830
105,2294 5238 3221 3676 2321 6513 559 275 500 5369 5723 4291 4545 5640 3239 1968 3925 4533 1198 2628
106,3236 479 6685 2557 1199 5532 5857 2228 1131 1159 5469 5076 1171 2194 1183 1643 3850 5863 2369 372
107,3316 2873 4554 4180 891 291 86 262 6624 224 2228 2050 2556 3707 3410 2024 2538 5744 2203 372
108,6561 2397 119 1445 2162 5783 4789 2110 491 1709 5426 1616 955 5081 2204 41 2687 3326 6516 5898
109,4533 4554 2369 868 536 5369 4545 4291 457 4200 814 372 1418 2050 6271 2284 5407 2077 6330 262
110,5390 551 495 3208 559 1129 5065 4720 4714 2300 1656 4572 4800 5069 993 1804 2390 4032 3551 1731
111,4533 2772 2399 4023 1106 4554 6330 2329 2369 4796 5877 1294 6771 291 6624 4570 1373 457 1552 2527
112,132 1682 3436 6519 984 1960 935 3752 2167 515 2652 3617 5544 3602 4592 2793 5644 814 6739 868
113,5076 2232 3666 6771 6519 479 5532 5340 1418 1373 868 1960 4313 4023 5723 6448 5252 5369 6730 2275
114,4291 3857 1546 6519 2921 1245 2632 6018 4759 1458 6532 2448 4425 4450 2473 6236 1116 5544 5469 2960
115,5326 5064 1452 2904 428 3512 4300 2557 2397 5073 4864 417 3666 459 1458 1800 5340 6054 817 268
116,3824 4720 1668 3752 1187 5971 4789 1522 4542 4359 3326 4659 2574 5238 3285 5490 4572 697 4231 325
117,2628 3607 2438 3180 2539 1983 479 123 6518 2226 814 5167 4313 640 868 5490 2653 6624 3236 457
118,2226 625 5326 242 5857 5965 434 3180 1452 4045 3410 4720 2557 2772 1560 4691 1458 4023 608 4180
119,4762 2237 784 5956 5738 4478 1211 6109 6752 3602 1329 5591 188 6512 909 588 2788 6335 6421 3874
120,4270 1494 2556 4484 2168 4291 4709 1983 2167 3989 146 1779 5356 1294 5532 3472 3441 4312 5069 6158
121,2880 1294 6624 1983 4200 3410 596 5469 5269 457 4440 1235 832 814 3373 6219 5964 4570 2151 1480
122,2628 6472 3201 2167 1373 2557 2917 4877 6050 6675 495 1038 596 457 4012 1791 4572 4200 3044 3905
123,1183 3236 4312 5489 4835 479 1418 2556 1339 5469 5065 372 5460 5442 3567 5076 6771 2557 355 4373
124,3604 5553 4570 2226 355 2321 1943 4796 1469 6935 428 3875 559 1038 3436 5715 4291 6490 4593 4987
125,4977 3040 5073 2628 966 2228 1373 1503 5407 5428 414 2369 4709 4685 5532 4222 2886 3410 479 6198
126,2399 4815 5636 258 4714 1183 2628 479 3506 3236 6330 6666 1920 5010 891 5662 5169 4625 6958 4439
127,4704 3436 891 2808 868 6382 5766 25 5854 5532 6173 6810 6668 4161 1428 1974 6219 414 5969 6313
128,5323 6810 3516 6935 3180 4480 2308 2005 3460 2907 5630 1949 2295 3526 5269 1467 6340 6530 2509 5223
129,515 3962 1329 5457 6730 3752 1458 3666 91 4605 1373 2167 5489 2556 1294 5532 2294 5766 2115 5407
130,2703 2529 3604 1655 2167 3410 1294 4929 6054 6490 1651 5065 4484 4012 6330 5460 1716 414 4759 6057
131,1940 1458 5965 4893 3602 5640 1539 2341 2096 1171 1329 879 1009 868 6592 5766 3516 6492 596 3621
132,1668 1700 1602 3201 5394 3819 2438 955 2556 6293 4789 3167 4359 6472 5466 5744 424 495 4200 3270
133,4533 2556 5466 5469 372 868 4532 1818 3714 1097 4238 3576 6642 193 2425 3410 1373 3373 4351 814
134,536 3236 2556 4180 1911 479 924 2369 6624 1339 5469 1818 868 3244 5407 3740 6271 3410 1909 4291
135,495 3656 2152 4312 2960 955 5168 4200 1373 291 5498 4709 4484 2628 89 2632 2574 1656 1643 5723
136,4709 3576 6313 966 3602 2110 4483 457 5981 2509 755 5223 6165 5428 2329 1339 4480 3040 2195 1217
137,5609 1610 2300 2438 6584 5213 2356 3641 6518 3410 4291 729 814 5490 531 6219 1214 1606 3506 457
138,3621 6842 2675 5723 5870 291 4772 4264 2677 3962 2110 2960 1529 1901 76 5414 1539 1989 1257 1102
139,1700 4200 51 4637 2321 2448 559 140 2703 351 5831 1038 5723 5294 5898 6506 5965 6651 5202 6516
140,4709 1399 2448 4291 2556 6262 5407 291 782 1983 4877 86 3410 2796 355 5981 3496 6165 5640 4180
141,3512 4720 4342 828 1015 4220 5498 4800 4045 5896 4835 1766 6133 4728 84 3812 4519 4841 1804 1643
142,92 4300 1210 1373 1960 6133 132 2574 3666 5723 3607 4172 5324 2188 1252 290 5919 4572 4809 5337
143,4245 5956 596 1373 2557 3410 868 4200 2199 5941 17 5489 4572 3819 601 2835 5991 2986 6771 6061
144,4572 3857 1503 1690 1940 2294 4841 5457 2574 5924 3676 2776 5744 457 3356 4877 3924 6592 5314 5022
145,625 504 2703 5532 5407 3135 6377 495 4720 5785 3975 4291 955 2415 1373 4533 2217 5666 3311 1968
146,1257 6499 5323 3874 5965 3856 6920 219 4529 1497 3470 5284 1356 5884 3621 4542 3752 4083 1469 2329
147,2369 4554 4238 955 4877 1458 6619 3410 457 4103 5466 2709 4291 5407 868 479 5469 5269 6382 3427
148,4296 3441 5252 5218 6957 4399 3265 2255 1377 6219 4965 2873 6758 3236 6821 1554 3989 3410 6307 1418
149,187 5723 3713 5335 2557 596 2438 203 5167 5340 3236 531 372 665 4572 6766 4200 3201 457 6624
150,4685 2772 1940 86 2369 1106 2589 1963 814 1983 5609 5252 6213 665 4500 2284 3244 5323 5723 201
151,2399 4247 2556 3410 3244 5407 2050 291 86 6619 6271 2886 3316 4269 4103 2203 5469 255 6624 814
152,3875 2154 4578 6873 2324 5891 1171 5857 993 4351 5799 6033 6647 1062 3460 57 6173 4161 6182 1949
153,3434 5469 868 457 1339 479 965 193 4200 3881 4238 2167 814 5854 2835 3218 2228 3180 5532 594
154,4200 4877 2556 5469 596 814 6054 5705 4532 372 6293 1539 3819 3236 479 4231 2835 2152 2986 6532
155,868 4685 4697 1655 2835 2557 966 2284 479 536 1871 4500 5428 4709 6077 2329 5972 2627 3646 814
156,3436 1373 2556 4365 551 2228 457 3907 6665 4989 5746 3962 491 5705 1294 12 6516 4302 1696 5329
157,1038 2110 4877 1329 6173 6490 1651 5532 5240 54 5081 966 6516 5640 4697 4161 5861 1062 4191 4728
158,20 3713 5340 336 3604 3551 1554 372 5252 6050 5723 2341 6926 1418 1705 479 1791 6562 596 6330
159,3285 1983 313 5457 3410 3930 3875 4654 5489 5032 3526 4200 2341 2555 1399 5690 4459 3989 662 1038
160,3617 5696 5081 6173 6466 1596 1294 1940 2050 2886 2557 479 4545 2652 6050 788 3208 6624 1168 4291
161,1257 2110 1656 6551 2904 596 4484 4877 1329 2080 89 1539 5957 2529 4231 6516 5390 2793 5022 2438
162,457 596 2093 4231 1163 1703 6050 4572 1339 6926 4200 2438 2167 3373 3236 5076 4514 5532 601 439
163,6472 515 2539 3487 1196 457 1182 366 2448 2871 1393 1094 3506 5304 4709 3602 4023 2869 1539 814
164,236 3970 2632 3142 5466 5854 5738 2987 479 2390 2829 5295 6935 3516 1494 868 2369 4200 1940 5469
165,1183 3740 2412 2703 1503 5240 4937 242 4285 1497 2167 6709 5915 2932 2754 531 2004 4338 5744 6627
166,1552 2556 4709 814 5964 457 3410 531 5022 4023 5252 3285 1682 5323 3316 6771 4570 3945 2300 4291
167,4351 2872 1696 2556 1229 5640 5302 3445 4780 1958 5710 3441 515 6073 1198 3113 1682 291 1621 3857
168,1407 1494 2829 4572 5766 2727 3666 1373 1696 283 2101 4974 3410 4514 1940 2574 2154 6378 2557 2798
169,3656 1602 1373 5965 3410 1339 697 5469 5854 6329 224 3236 5966 814 3621 4709 4796 3907 5640 355
170,4312 236 2308 868 3180 2154 6810 457 6190 2181 3526 479 4200 3943 1418 1339 1326 5407 3373 531
171,5258 5335 4554 2709 5407 5740 355 4896 4484 5950 5469 4533 1905 2050 6271 2886 5710 3410 868 814
172,5854 1503 2024 5025 355 3413 4291 6213 6961 3602 3462 1553 1364 3785 659 891 3567 2758 457 6363
173,5390 3506 4312 5356 814 662 3514 5609 4970 5879 6212 4877 1632 2704 1469 6808 4045 5650 4720 4561
174,4709 2162 3607 918 1402 1252 2108 6165 5466 5766 2556 3305 1373 5323 4231 1489 2397 1791 1568 3666
175,563 6666 5252 1418 814 459 4291 4195 891 3966 4029 457 200 665 5723 3256 201 5326 2556 3325
176,3977 6810 1458 3180 4351 5394 868 1182 5961 5723 457 4459 4572 4302 283 2574 3666 6077 1610 1242
177,2059 4291 3930 4220 2324 2167 1610 5369 5356 479 1426 2152 5460 247 2183 3506 2670 4877 3537 262
178,2399 6771 258 1736 891 2539 3040 2004 6890 1696 2321 3343 3316 6654 1497 5213 5218 1655 4646 3201
179,1596 4161 3765 5069 479 2779 4220 2591 531 1320 6497 5896 637 6654 3441 2152 1226 1159 4973 3377
180,5076 814 2703 2904 2399 984 89 5073 3602 2556 5394 5956 4012 6073 3040 4233 6192 500 5723 4561
181,5064 5076 5394 3201 1940 2574 4813 3666 6516 3410 3044 2456 3607 1887 4572 2628 6802 1696 6691 5744
182,1294 6018 457 4720 3506 2556 2390 868 4484 5069 814 5966 5510 1168 4572 3441 193 4200 596 4877
183,2628 355 531 5252 5662 6624 262 327 3236 4200 3506 4625 6968 2556 5469 2059 3053 4527 1920 3702
184,4759 1700 1850 3607 4342 457 3410 596 4231 6584 6842 814 200 6624 2473 4220 5069 3434 3512 6293
185,3373 999 814 4532 6454 2150 6561 3434 3930 140 414 271 3778 412 3621 966 3198 2555 3280 2152
186,955 1402 2824 1786 2798 3142 5335 2703 2295 2556 2369 2886 1999 5407 1403 3730 1727 495 4291 1373
187,457 2960 3201 3930 5466 2557 1503 372 4191 2499 2779 2255 424 2555 247 3873 4835 261 3434 5553
188,3875 625 3516 4813 2295 5236 4533 1704 2228 4483 5166 5203 551 536 5445 5857 1171 1887 2904 5671
189,6624 536 4312 6561 5637 1871 3269 6619 4977 815 5335 2091 2556 5458 6219 2266 457 4291 5065 4180
190,428 1418 1389 891 3512 4625 5941 2024 6562 3702 5167 5369 3966 6958 6796 201 4613 1254 6621 4413
191,4023 283 625 3236 6243 4172 5981 1651 3265 3607 457 6165 2557 4480 868 1217 495 755 6730 814
192,3824 1546 2557 2628 4270 5258 2110 1328 6516 1651 5304 5064 2703 993 1469 868 1887 5240 2329 6842
193,1373 2835 2167 1700 5854 3236 6330 1168 262 2152 193 3604 531 2397 372 1306 6624 2557 1294 4572
194,2556 457 4200 5269 814 3410 479 2228 5532 262 6584 4796 6771 6645 5640 531 955 1602 3666 601
195,4800 5532 5965 4720 4045 1830 236 4220 5122 1294 1328 2573 6490 457 3270 1703 242 1610 3373 2677
196,1703 3875 2369 5825 536 3711 6198 3995 2709 6500 4826 4545 885 2194 3621 656 6592 2772 545 5815
197,4728 2241 6561 1651 5766 3410 2556 4492 2703 3412 3269 5785 3180 4534 2601 5122 2125 5240 4414 5474
198,4608 6584 2233 3512 3824 2628 5369 3010 2703 495 457 2556 6293 563 89 868 6826 5356 372 3316
199,4896 4709 2545 2110 2556 457 5644 2628 2455 955 4264 5223 5323 5830 5329 5956 2167 3875 1252 2329
200,5252 479 3765 6219 1418 1168 814 1871 1183 4796 6313 531 2557 3316 372 5469 5167 1339 868 2653
201,5252 3410 1418 5167 5340 4581 3236 1974 1554 868 814 290 2835 1373 2557 6771 5469 6076 2653 3373
202,6685 966 5857 2938 5861 868 4079 6561 4166 2123 5957 2252 5490 6291 3040 2703 6098 1930 982 1131
203,5489 3713 2167 1235 6584 942 1339 2321 4572 262 1940 4533 3441 665 4709 531 2955 4480 1554 3236
204,2907 5474 3142 3516 6842 4322 1458 2399 5323 3285 5513 3649 1163 4023 3590 2798 3506 3180 1829 1464
205,3551 1651 868 372 531 5167 262 3441 814 5469 2152 596 3707 187 1339 200 5977 4012 5065 665
206,4291 6431 2539 729 86 5252 5167 2167 2170 5662 5340 355 4080 5513 2251 5048 6624 3256 112 6961
207,4633 372 1458 3410 3526 2653 5167 3049 1377 2024 1920 4654 1373 4200 1083 1418 1097 4625 5469 5778
208,2556 495 2110 4484 4238 457 3218 6624 123 596 3373 3795 2167 1294 3819 5407 1621 4291 372 594
209,86 2772 868 3410 1339 6058 479 2228 1029 2796 4238 327 2369 4928 1696 574 291 2557 2167 4313
210,4023 291 3602 6842 5812 5981 1644 2556 1329 5553 4480 1041 1539 868 2448 5710 950 2228 6516 755
211,2399 3221 4032 2083 2255 3989 3236 6330 3410 6316 44 2779 5466 5241 2602 1073 5356 5457 355 2499
212,775 6453 4312 6472 4720 5532 596 6627 336 3607 157 495 868 457 2321 427 1577 1469 186 2110
213,3512 2251 2539 3410 3316 1057 2653 2167 1418 1192 6121 6353 1974 5167 2470 5532 6646 4833 3525 1377
214,1196 2321 6018 3294 4720 1373 5337 2628 86 6070 2093 3795 1804 999 1182 258 4878 2115 811 4459
215,1252 457 146 5489 1567 5630 4833 3103 3493 6730 5323 5337 2005 1294 1137 4480 1940 5324 4172 5981
216,5489 5323 4023 1960 4709 1373 1210 3646 2005 2556 5295 3666 868 400 2397 817 6165 6133 4572 4634
217,1129 4800 625 4414 1696 4200 5532 2228 2397 2557 890 1373 166 1452 1203 3270 5490 984 5469 4529
218,4570 4045 3607 5609 4889 1143 3128 3410 6281 2300 3180 2110 2556 4968 6158 4195 3256 1567 6363 6666
219,4533 2255 479 5442 236 336 531 1015 4195 112 4532 1554 6584 1143 187 4815 417 5258 5896 5117
220,4709 5426 6449 2390 2556 479 5323 2083 6096 3602 5469 1418 6872 4833 531 3236 1106 6330 4291 868
221,3970 1949 3460 531 1418 457 3236 1974 1339 2295 5469 2556 5474 6561 5252 4313 596 5167 5978 4570
222,1800 891 1286 4877 6562 5025 1183 4625 1458 5854 1377 5340 5706 5442 6810 3740 6961 1073 6330 2459
223,3410 5252 1940 4848 5167 531 3265 5326 729 6771 5323 187 2005 1106 4313 6821 1554 5469 4023 4121
224,2880 1329 814 2228 4545 1168 5407 479 4635 5636 6281 4291 5532 6930 2399 868 2167 531 12 2110
225,4023 1252 4572 4459 2917 2329 6730 782 6064 4172 3410 2233 2574 3055 1309 2727 3356 2772 3044 4570
226,3824 3305 495 5723 2101 1940 5489 3373 457 3754 6730 4709 417 4728 283 868 4486 2556 5223 6165
227,2703 5323 4023 1940 4709 2101 5981 1373 2556 5324 4480 2557 495 4270 4533 2509 4777 283 5950 5223
228,242 6532 3373 4200 4720 3410 4291 5532 5854 1339 372 3316 2152 5966 1373 1940 5460 2557 200 5037
229,1940 3516 4709 5981 4841 2556 5630 2005 3142 2080 6889 5648 283 4572 596 1467 2818 1621 3970 3125
230,6901 6382 1013 4783 4877 3180 1329 4439 3265 2024 355 1554 6190 2329 6707 187 6821 657 4343 1940
231,5076 814 4970 5356 4291 6158 4570 3740 2557 5636 2399 1968 4233 2556 4200 3989 355 3410 1403 1183
232,6808 4200 5705 4231 4835 1373 3236 457 5469 2574 372 4572 4291 1294 2456 4570 4312 3221 2080 2167
233,6034 4147 5064 2844 4977 6173 6050 1373 5469 5076 5037 6802 193 6902 6926 5966 1940 3787 1364 2835
234,6454 4291 6532 1329 3373 1655 1503 5428 1539 44 5553 2556 4200 2390 3472 2473 6054 2557 3512 2369
235,2369 4291 3410 291 2556 4545 536 4023 2005 5469 1217 372 1073 6271 657 5407 2557 2886 5966 2148
236,457 1373 2556 4877 1329 479 2167 1339 4195 372 3236 3373 1451 6624 3576 1983 2152 1168 6584 6645
